Pic ID,Date,Money Transfer Application,Digital Payments,Digital Payment Type,Amount,Official Deposit
13880,9/3/2022,1,1,Cashapp,1000,
14022,13-03-2022,1,1,CashApp,3500,
14024,13-03-2022,1,1,Cashapp,1000,
14025,13-03-2022,1,1,Cashapp,1000,
14027,13-03-2022,1,1,No type identified,1500,
14032,13-03-2022,1,1,Cashapp,2000,
14033,13-03-2022,1,1,CashApp,2000,
14035,13-03-2022,1,1,CashApp,100,
14036,13-03-2022,1,1,CashApp,916,
14041,14-03-2022,1,1,CashApp,16000,
14043,14-03-2022,1,1,Cashapp,5650,
14045,14-03-2022,1,1,CashApp,6000,
14118,15-03-2022,1,1,Cashapp,1000,
14148,16-03-2022,1,1,paypal,1500,
14151,16-03-2022,1,1,Paypal,0,
14153,16-03-2022,1,1,Paypal,0,
14155,16-03-2022,1,1,Paypal,0,
14156,16-03-2022,1,1,Paypal,1000,
14157,16-03-2022,1,1,Paypal,1000,
14158,16-03-2022,1,1,Paypal,0,
14168,16-03-2022,1,1,CashApp,16000,
14169,16-03-2022,1,1,Cashapp,5650,
14170,16-03-2022,1,1,Cashapp,17500,
14171,16-03-2022,1,1,CashApp,6000,
14184,16-03-2022,1,1,CashApp,2000,
14185,16-03-2022,1,1,CashApp,1500,
14187,16-03-2022,1,1,Cashapp,916,
14188,16-03-2022,1,1,CashApp,600,
14189,16-03-2022,1,1,Cashapp,1000,
14243,15-03-2022,1,1,CashApp,15000,
14244,15-03-2022,1,1,No type identified,2000,
14245,15-03-2022,1,1,Paypal,2200,
14257,18-03-2022,1,1,CashApp,4240,
14262,18-03-2022,1,1,Cashapp,225,
14330,16-03-2022,1,1,Paypal,2660.98,
14331,16-03-2022,1,1,Paypal,2660.98,
14332,16-03-2022,1,1,Zelle,1490,
14347,17-03-2022,1,1,CashApp,17341.6,
14349,17-03-2022,1,1,Coinbase,377071.37,
14351,17-03-2022,1,1,Facebook Shop,855,
14363,17-03-2022,1,1,CashApp,9122.04,
14364,17-03-2022,1,1,CashApp,4198.07,
14365,17-03-2022,1,1,CashApp,1042.45,
14372,17-03-2022,1,1,CashApp,1800,
14385,17-03-2022,1,1,CashApp,9122.04,
14386,17-03-2022,1,1,CashApp,1042.45,
14400,18-03-2022,1,1,CashApp,5019,
14404,18-03-2022,1,1,CashApp,48799.4,
14421,18-03-2022,1,1,CashApp,1500,
14422,18-03-2022,1,1,Cashapp,2000,
14423,18-03-2022,1,1,CashApp,2000,
14424,18-03-2022,1,1,CashApp,4056,
14427,22-03-2022,1,1,CashApp,5019,
14544,23-03-2022,1,1,CashApp,5019,
14558,23-03-2022,1,1,CashApp,9550.6,
14559,23-03-2022,1,1,CashApp,23028.17,
14606,28-03-2022,1,1,CashApp,70000,
14660,26-03-2022,1,1,CashApp,17456.05,
14668,27-03-2022,1,1,CashApp,9550.6,
14694,29-03-2022,1,1,CashApp,999.5,
14703,29-03-2022,1,1,CashApp,9800,
14708,29-03-2022,1,1,Cashapp,1000,
14820,30-03-2022,1,1,Coinbase,500,
14821,30-03-2022,1,1,CashApp,20834.11,
14828,30-03-2022,1,1,Paypal,5000,
16835,8/3/2022,1,1,CashApp,14000,
16911,14-03-2022,1,1,CashApp,25081.75,
17121,15-03-2022,1,1,CashApp,4448.92,
17126,17-03-2022,1,1,CashApp,5000,
17788,29-03-2022,1,1,Cashapp,2200,
17789,29-03-2022,1,1,CashApp,1056,
18576,23-03-2022,1,1,CashApp,1000,
18577,23-03-2022,1,1,Cashapp,2000,
18578,23-03-2022,1,1,Cashapp,3000,
18579,23-03-2022,1,1,paypal,1500,
18587,23-03-2022,1,1,Cashapp,2000,
18605,24-03-2022,1,1,Cashapp,9218.55,
18627,24-03-2022,1,1,CashApp,4000,
18628,24-03-2022,1,1,CashApp,5000,
18646,24-03-2022,1,1,CashApp,0,
18647,24-03-2022,1,1,CashApp,3017.5,
18694,25-03-2022,1,1,CashApp,9789,
186,10/3/2022,1,1,paypal,2087.69,
18729,26-03-2022,1,1,CashApp,2000,
18730,26-03-2022,1,1,Cashapp,2000,
18731,26-03-2022,1,1,CashApp,4056,
18732,26-03-2022,1,1,CashApp,1500,
18733,26-03-2022,1,1,CashApp,1500,
18735,26-03-2022,1,1,CashApp,2000,
18736,26-03-2022,1,1,Cashapp,916,
18737,26-03-2022,1,1,CashApp,600,
18738,26-03-2022,1,1,Cashapp,1000,
18739,26-03-2022,1,1,CashApp,4056,
18740,26-03-2022,1,1,CashApp,5019,
18783,27-03-2022,1,1,CashApp,4235,
18784,27-03-2022,1,1,CashApp,2031.24,
18785,27-03-2022,1,1,CashApp,6135.05,
18787,27-03-2022,1,1,Cashapp,200,
18797,28-03-2022,1,1,CashApp,5019,
18799,28-03-2022,1,1,Cashapp,880,
187,10/3/2022,1,1,CashApp,4056,
18800,28-03-2022,1,1,CashApp,1500,
18802,28-03-2022,1,1,CashApp,2000,
18803,28-03-2022,1,1,Cashapp,916,
18804,28-03-2022,1,1,CashApp,600,
18805,28-03-2022,1,1,Cashapp,1000,
18806,28-03-2022,1,1,CashApp,4056,
18825,28-03-2022,1,1,Cashapp,200,
18829,28-03-2022,1,1,CashApp,6135.05,
18831,28-03-2022,1,1,CashApp,4235,
18832,28-03-2022,1,1,CashApp,2031.24,
18865,29-03-2022,1,1,Cashapp,1000,
18866,29-03-2022,1,1,Coinbase,1000,
18867,29-03-2022,1,1,Cashapp,2800,
18897,29-03-2022,1,1,CashApp,9789,
18898,29-03-2022,1,1,CashApp,15000,
18908,29-03-2022,1,1,CashApp,4017.02,
18916,29-03-2022,1,1,CashApp,4000,
18917,29-03-2022,1,1,CashApp,5000,
18918,29-03-2022,1,1,CashApp,5000,
18919,29-03-2022,1,1,CashApp,1533.31,
18920,29-03-2022,1,1,CashApp,20832.98,
18922,29-03-2022,1,1,CashApp,1000,
18923,29-03-2022,1,1,Cashapp,2000,
18924,29-03-2022,1,1,Cashapp,3000,
18948,30-03-2022,1,1,CashApp,1056,
18949,30-03-2022,1,1,Cashapp,2200,
18950,30-03-2022,1,1,CashApp,7500,
18952,30-03-2022,1,1,Cashapp,450,
18953,30-03-2022,1,1,CashApp,450,
189,17-03-2022,1,1,paypal,15000,
190,17-03-2022,1,1,CashApp,1500,
191,19-03-2022,1,1,paypal,1097.76,
19540,22-03-2022,1,1,CashApp,9827.96,
19541,23-03-2022,1,1,CashApp,18333,
19542,23-03-2022,1,1,paypal,12864,
195847,1/3/2022,1,1,Coinbase,37888.07,
195906,1/3/2022,1,1,CashApp,23028.17,
195908,1/3/2022,1,1,CashApp,3881,
195981,1/3/2022,1,1,No type identified,5300,
196008,1/3/2022,1,1,Coinbase,21000,
196050,1/3/2022,1,1,No type identified,8900,
196075,1/3/2022,1,1,Coinbase,3465.57,
196104,1/3/2022,1,1,Paypal,9352,
196263,1/3/2022,1,1,Cashapp,2000,
196281,1/3/2022,1,1,CashApp,9352,
196508,1/3/2022,1,1,CashApp,1200,
196554,1/3/2022,1,1,CashApp,30150.02,
