Pic ID,Date,Money Transfer Application,Digital Payments,Digital Payment Type,Amount,Official Deposit
2342,17-12-2021,,,,[9218.55],
2343,17-12-2021,,,,"['1,100']",
2412,17-12-2021,,1,CashApp,[8604.0],
2562,18-12-2021,,1,CashApp,[20832.98],
2563,18-12-2021,,1,CashApp,[1533.31],
2564,18-12-2021,,1,CashApp,[5000.0],
2588,18-12-2021,,,,"['7,500']",
2589,18-12-2021,,,,"['10,000.00']",
2590,18-12-2021,,1,CashApp,"['2,430']",
2591,18-12-2021,,1,CashApp,[0.0],
2594,18-12-2021,,,,"['1,000.00']",
2595,18-12-2021,,1,CashApp,[],
2596,18-12-2021,,1,paypal,"['1,500.00']",
2646,20-12-2021,,1,CashApp,"['2,000']",
2649,20-12-2021,,,,"['9,254.00']",
2650,20-12-2021,,,,"['9,000']",
2651,20-12-2021,,,,"['13,500.00']",
2652,20-12-2021,,,,"['6,500.00']",
2653,20-12-2021,,1,CashApp,"['8,927.66']",
2654,20-12-2021,,,,"['9,000.00']",
2655,20-12-2021,,,,"['14,000']",
2657,20-12-2021,,,,"['9,000']",
2658,20-12-2021,,,,"['2,000.00']",
2727,23-12-2021,,,,[9218.55],
2801,23-12-2021,,1,CashApp,[8909.0],
2802,23-12-2021,,1,CashApp,[9321.27],
2803,23-12-2021,,1,CashApp,[7920.09],
2804,23-12-2021,,1,CashApp,[10841.95],
2805,23-12-2021,,1,CashApp,"['3,000.89']",
2848,24-12-2021,,,,"['8,000.00']",
2850,24-12-2021,,,,"['5,000.00']",
2851,24-12-2021,,,,"['7,161.00']",
2852,24-12-2021,,,,"['5,000.00']",
3045,28-12-2021,,1,CashApp,[9570.0],
3049,28-12-2021,,1,paypal,"['12,881.22']",
3050,28-12-2021,,,,"['1,000.00']",
3055,28-12-2021,,,,"['2,800.00']",
3056,28-12-2021,,1,CashApp,"['8,927.66']",
3057,28-12-2021,,1,CashApp,[9122.04],
3058,28-12-2021,,,,"['10,300.00']",
